id,gora,višina,priljubljenost,gorovje
127,Snežnik,1796,99,"Goriško, Notranjsko in Snežniško hribovje"
556,Mali Snežnik,1694,81,"Goriško, Notranjsko in Snežniško hribovje"
511,Mali Golak,1495,96,"Goriško, Notranjsko in Snežniško hribovje"
529,Srednji Golak,1480,78,"Goriško, Notranjsko in Snežniško hribovje"
551,Mrzovec,1410,79,"Goriško, Notranjsko in Snežniško hribovje"
503,Veliki Modrasovec,1353,86,"Goriško, Notranjsko in Snežniško hribovje"
1941,Bukov Vrh (Trnovski gozd),1314,62,"Goriško, Notranjsko in Snežniško hribovje"
1215,Suhi vrh (Nanos),1313,96,"Goriško, Notranjsko in Snežniško hribovje"
502,Mali Modrasovec,1305,68,"Goriško, Notranjsko in Snežniško hribovje"
545,Poldanovec,1299,84,"Goriško, Notranjsko in Snežniško hribovje"
1176,Goteniški Snežnik,1289,74,"Goriško, Notranjsko in Snežniško hribovje"
1435,Srednja gora (Hrušica),1275,60,"Goriško, Notranjsko in Snežniško hribovje"
821,Veliki Javornik (Javorniki),1268,90,"Goriško, Notranjsko in Snežniško hribovje"
1436,Streliški vrh (Hrušica),1266,63,"Goriško, Notranjsko in Snežniško hribovje"
510,Iztokova koča pod Golaki,1260,88,"Goriško, Notranjsko in Snežniško hribovje"
1742,Turn,1254,61,"Goriško, Notranjsko in Snežniško hribovje"
1771,Kuk (Kolovrat),1243,85,"Goriško, Notranjsko in Snežniško hribovje"
1175,Dom na Sviščakih,1242,71,"Goriško, Notranjsko in Snežniško hribovje"
500,Koča Antona Bavčerja na Čavnu,1242,93,"Goriško, Notranjsko in Snežniško hribovje"
809,Javornik nad Črnim Vrhom,1240,93,"Goriško, Notranjsko in Snežniško hribovje"
471,Vojkova koča na Nanosu,1240,99,"Goriško, Notranjsko in Snežniško hribovje"
1209,Veliki Rob,1237,85,"Goriško, Notranjsko in Snežniško hribovje"
501,Kucelj na Čavnu,1237,92,"Goriško, Notranjsko in Snežniško hribovje"
1741,Rezinski vrh,1231,49,"Goriško, Notranjsko in Snežniško hribovje"
1198,Sveti Duh (Hrušica),1221,55,"Goriško, Notranjsko in Snežniško hribovje"
1607,Mali Javornik (Javorniki),1219,63,"Goriško, Notranjsko in Snežniško hribovje"
1976,Petelinjek,1212,56,"Goriško, Notranjsko in Snežniško hribovje"
1410,Grmada (Nanos),1209,89,"Goriško, Notranjsko in Snežniško hribovje"
1977,Velika Jazbina,1201,48,"Goriško, Notranjsko in Snežniško hribovje"
